Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,7.640000,7.860000,7.540000,7.610000,7.539769,1090300
2023-01-04,7.680000,7.890000,7.600000,7.780000,7.708200,673000
2023-01-05,7.650000,7.950000,7.570000,7.860000,7.787462,753000
2023-01-06,8.030000,8.200000,7.900000,8.120000,8.045062,960400
2023-01-09,8.220000,8.270000,8.100000,8.120000,8.045062,566900
2023-01-10,8.170000,8.390000,8.070000,8.140000,8.064878,1161300
2023-01-11,8.130000,8.220000,7.980000,8.050000,7.975708,3450900
2023-01-12,8.200000,8.330000,8.070000,8.310000,8.233309,1385100
2023-01-13,8.320000,8.590000,8.250000,8.360000,8.282846,1400600
2023-01-17,8.110000,8.240000,7.810000,7.860000,7.787462,1041400
2023-01-18,7.950000,8.320000,7.910000,8.040000,7.965800,1106700
2023-01-19,8.060000,8.330000,8.000000,8.180000,8.104508,1074400
2023-01-20,8.150000,8.320000,8.030000,8.320000,8.243216,708200
2023-01-23,8.280000,8.300000,8.120000,8.270000,8.193678,584700
2023-01-24,8.290000,8.520000,8.150000,8.520000,8.441371,749500
2023-01-25,8.480000,8.740000,8.460000,8.500000,8.421555,1175300
2023-01-26,8.430000,8.520000,8.200000,8.410000,8.332385,1225700
2023-01-27,8.250000,8.280000,7.980000,7.990000,7.916262,549800
2023-01-30,7.910000,8.150000,7.880000,8.070000,7.995523,772200
2023-01-31,8.030000,8.120000,7.920000,8.090000,8.015339,1389600
2023-02-01,8.130000,8.370000,8.010000,8.280000,8.203585,729200
2023-02-02,8.370000,8.390000,7.820000,7.870000,7.797369,1182200
2023-02-03,7.700000,7.890000,7.620000,7.700000,7.628938,2031100
2023-02-06,7.640000,7.680000,7.480000,7.620000,7.549676,1420800
2023-02-07,7.600000,7.860000,7.510000,7.750000,7.678477,1225300
2023-02-08,7.750000,7.750000,7.610000,7.710000,7.638846,621700
2023-02-09,7.710000,7.800000,7.410000,7.420000,7.351522,1562800
2023-02-10,7.470000,7.480000,7.300000,7.390000,7.321799,605100
2023-02-13,7.410000,7.420000,7.280000,7.400000,7.331707,771600
2023-02-14,7.340000,7.490000,7.210000,7.420000,7.351522,839400
2023-02-15,7.210000,7.310000,7.080000,7.300000,7.232630,1730200
2023-02-16,7.240000,7.380000,7.160000,7.360000,7.292076,711200
2023-02-17,7.240000,7.470000,7.090000,7.440000,7.371337,643400
2023-02-21,7.450000,7.750000,7.410000,7.700000,7.628938,1123800
2023-02-22,7.700000,7.710000,7.440000,7.490000,7.420876,1259000
2023-02-23,7.460000,7.560000,7.200000,7.430000,7.361430,1728700
2023-02-24,7.300000,7.390000,7.250000,7.370000,7.301983,643600
2023-02-27,7.420000,7.540000,7.380000,7.420000,7.351522,661700
2023-02-28,7.400000,7.690000,7.330000,7.580000,7.510046,1590000
2023-03-01,7.750000,8.470000,7.680000,8.290000,8.213493,2477500
2023-03-02,8.290000,8.510000,8.290000,8.510000,8.431463,1371800
2023-03-03,8.630000,8.650000,8.470000,8.570000,8.490909,695400
2023-03-06,8.510000,8.600000,8.280000,8.380000,8.302663,617000
2023-03-07,8.290000,8.290000,7.880000,8.020000,7.945985,1508300
2023-03-08,8.040000,8.110000,7.920000,8.040000,7.965800,1938300
2023-03-09,8.050000,8.320000,7.870000,7.870000,7.797369,920400
2023-03-10,8.010000,8.130000,7.860000,7.860000,7.787462,735400
2023-03-13,8.150000,8.430000,8.060000,8.080000,8.005431,2547600
2023-03-14,8.050000,8.320000,8.020000,8.190000,8.114415,963600
2023-03-15,8.370000,8.500000,8.010000,8.150000,8.074784,1361300
2023-03-16,8.160000,8.200000,7.770000,7.920000,7.846908,1260400
2023-03-17,8.130000,8.600000,7.940000,8.350000,8.272940,5302900
