Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,5.460000,5.710000,5.430000,5.640000,3.844724,307800
2019-01-03,5.690000,5.840000,5.630000,5.690000,3.878809,283600
2019-01-04,5.760000,6.000000,5.740000,5.950000,4.056047,314200
2019-01-07,5.850000,6.060000,5.810000,6.020000,4.103766,324000
2019-01-08,5.970000,6.170000,5.940000,6.140000,4.185569,444600
2019-01-09,6.360000,6.440000,6.170000,6.240000,4.253737,435600
2019-01-10,5.960000,5.960000,5.770000,5.810000,3.960611,579600
2019-01-11,5.640000,5.650000,5.550000,5.610000,3.824274,468000
2019-01-14,5.480000,5.550000,5.440000,5.480000,3.735654,375300
2019-01-15,5.790000,5.840000,5.620000,5.660000,3.858358,384400
2019-01-16,5.640000,5.670000,5.520000,5.570000,3.797006,237700
2019-01-17,5.600000,5.670000,5.570000,5.610000,3.824274,311200
2019-01-18,5.660000,5.810000,5.660000,5.800000,3.953795,497700
2019-01-22,5.690000,5.760000,5.630000,5.640000,3.844724,252500
2019-01-23,5.630000,5.710000,5.610000,5.650000,3.851541,286000
2019-01-24,5.650000,5.770000,5.580000,5.590000,3.810640,458300
2019-01-25,5.580000,5.600000,5.400000,5.460000,3.722020,415800
2019-01-28,5.300000,5.320000,5.160000,5.210000,3.551598,504100
2019-01-29,5.180000,5.250000,5.120000,5.210000,3.551598,322600
2019-01-30,5.260000,5.390000,5.210000,5.340000,3.640218,253200
2019-01-31,5.220000,5.220000,5.110000,5.150000,3.510696,472100
2019-02-01,5.080000,5.110000,5.000000,5.070000,3.456162,395700
2019-02-04,5.010000,5.120000,5.010000,5.090000,3.469795,251600
2019-02-05,5.190000,5.400000,5.190000,5.330000,3.633401,575100
2019-02-06,5.240000,5.300000,5.190000,5.240000,3.572048,208600
2019-02-07,5.070000,5.130000,4.960000,5.020000,3.422077,393200
2019-02-08,4.990000,5.010000,4.880000,4.900000,3.340275,308500
2019-02-11,4.840000,5.040000,4.820000,5.030000,3.428894,423000
2019-02-12,5.500000,5.590000,5.370000,5.490000,3.742471,604800
2019-02-13,5.410000,5.510000,5.410000,5.490000,3.742471,234500
2019-02-14,5.580000,5.760000,5.550000,5.690000,3.878809,937100
2019-02-15,5.770000,5.910000,5.770000,5.850000,3.987879,444700
2019-02-19,5.850000,5.890000,5.750000,5.870000,4.001513,233300
2019-02-20,5.780000,5.830000,5.710000,5.720000,3.899259,196500
2019-02-21,5.710000,5.790000,5.690000,5.740000,3.912893,170800
2019-02-22,5.950000,6.090000,5.890000,6.060000,4.131033,458600
2019-02-25,6.010000,6.050000,5.820000,5.820000,3.967428,617500
2019-02-26,6.030000,6.060000,5.880000,5.960000,4.062865,616000
2019-02-27,6.200000,6.340000,6.130000,6.300000,4.294640,717000
2019-02-28,6.420000,6.540000,6.330000,6.420000,4.376441,643900
2019-03-01,6.620000,6.670000,6.430000,6.570000,4.478695,321800
2019-03-04,6.690000,6.720000,6.600000,6.660000,4.540046,384000
2019-03-05,6.680000,6.770000,6.640000,6.750000,4.601398,374400
2019-03-06,6.750000,6.750000,6.500000,6.560000,4.471878,358900
2019-03-07,6.410000,6.470000,6.330000,6.340000,4.321907,379900
2019-03-08,6.210000,6.360000,6.170000,6.330000,4.315089,324600
2019-03-11,6.250000,6.280000,6.170000,6.200000,4.226470,368000
2019-03-12,6.360000,6.500000,6.360000,6.470000,4.410526,324700
2019-03-13,6.440000,6.560000,6.420000,6.530000,4.451427,395200
2019-03-14,6.450000,6.510000,6.330000,6.340000,4.321907,308200
2019-03-15,6.400000,6.610000,6.340000,6.500000,4.430977,795000
2019-03-18,6.560000,6.770000,6.550000,6.760000,4.608216,362600
2019-03-19,6.800000,6.810000,6.690000,6.710000,4.574131,337800
2019-03-20,6.720000,6.780000,6.580000,6.720000,4.580948,465200
2019-03-21,6.840000,7.020000,6.830000,6.990000,4.765004,503700
2019-03-22,6.980000,6.990000,6.730000,6.860000,4.676385,689700
2019-03-25,6.740000,6.750000,6.530000,6.570000,4.478695,359000
2019-03-26,6.630000,6.680000,6.540000,6.620000,4.512780,423000
2019-03-27,6.520000,6.610000,6.450000,6.580000,4.485511,267100
2019-03-28,6.390000,6.470000,6.270000,6.310000,4.301456,481500
2019-03-29,6.450000,6.470000,6.310000,6.460000,4.403708,514300
2019-04-01,6.640000,6.820000,6.610000,6.810000,4.642300,429100
2019-04-02,6.700000,6.780000,6.630000,6.770000,4.615033,264800
2019-04-03,6.840000,6.900000,6.740000,6.780000,4.621850,199000
2019-04-04,6.790000,6.870000,6.760000,6.840000,4.662751,193500
2019-04-05,6.960000,7.050000,6.850000,6.870000,4.683201,779900
2019-04-08,7.520000,7.790000,7.500000,7.780000,5.303538,2279800
2019-04-09,7.650000,7.700000,7.490000,7.530000,5.133116,674700
2019-04-10,7.710000,8.030000,7.700000,8.000000,5.453509,832500
2019-04-11,7.700000,8.050000,7.630000,7.930000,5.405792,590400
2019-04-12,7.870000,8.000000,7.830000,7.910000,5.392157,427900
2019-04-15,7.830000,7.830000,7.770000,7.790000,5.310355,294200
2019-04-16,7.790000,7.880000,7.730000,7.810000,5.323988,344200
2019-04-17,7.890000,7.940000,7.750000,7.810000,5.323988,319500
2019-04-18,7.800000,7.850000,7.710000,7.760000,5.289905,236500
2019-04-22,7.770000,8.240000,7.750000,8.140000,5.548947,597800
2019-04-23,8.140000,8.190000,8.000000,8.020000,5.467144,350700
2019-04-24,8.230000,8.230000,8.050000,8.060000,5.494411,387500
2019-04-25,8.090000,8.100000,7.950000,8.090000,5.514862,311800
2019-04-26,7.910000,8.060000,7.850000,8.040000,5.480777,338700
2019-04-29,7.900000,8.280000,7.900000,8.220000,5.603482,482100
2019-04-30,8.240000,8.300000,8.170000,8.190000,5.583030,482000
2019-05-01,8.230000,8.250000,8.040000,8.060000,5.494411,265600
2019-05-02,7.960000,8.110000,7.930000,7.990000,5.446693,306000
2019-05-03,8.000000,8.250000,8.000000,8.240000,5.617115,452300
2019-05-06,7.990000,8.030000,7.940000,7.970000,5.433059,460900
2019-05-07,7.900000,7.940000,7.740000,7.820000,5.330805,278300
2019-05-08,7.970000,8.060000,7.900000,7.910000,5.392157,356100
2019-05-09,7.960000,7.990000,7.750000,7.920000,5.398975,355500
2019-05-10,7.970000,8.030000,7.870000,7.900000,5.385341,371200
2019-05-13,7.760000,7.850000,7.580000,7.600000,5.180834,548200
2019-05-14,7.910000,8.480000,7.900000,8.470000,5.773904,1225200
2019-05-15,8.530000,9.120000,8.500000,8.990000,6.128382,1618800
2019-05-16,9.020000,9.320000,8.860000,9.260000,6.312438,1486000
2019-05-17,9.200000,9.270000,8.950000,9.010000,6.142015,655000
2019-05-20,9.030000,9.540000,9.020000,9.320000,6.353339,1189700
2019-05-21,9.210000,9.350000,9.050000,9.090000,6.196550,727600
2019-05-22,8.980000,9.110000,8.690000,8.750000,5.964776,678500
2019-05-23,8.620000,8.640000,8.240000,8.450000,5.760270,796900
2019-05-24,8.680000,8.720000,8.510000,8.550000,5.828439,1076100
2019-05-28,8.540000,8.570000,8.380000,8.400000,5.726184,610000
2019-05-29,8.100000,8.110000,7.840000,8.050000,5.487595,1188300
2019-05-30,8.030000,8.030000,7.820000,7.880000,5.371707,559100
2019-05-31,7.620000,7.940000,7.600000,7.840000,5.344440,638300
2019-06-03,7.800000,7.900000,7.700000,7.750000,5.283088,456200
2019-06-04,7.930000,7.970000,7.740000,7.820000,5.330805,748400
2019-06-05,7.940000,8.060000,7.840000,8.040000,5.480777,679100
2019-06-06,7.940000,7.960000,7.650000,7.770000,5.296721,499900
2019-06-07,7.890000,7.930000,7.770000,7.810000,5.323988,553900
2019-06-10,7.820000,7.840000,7.640000,7.670000,5.228553,613900
2019-06-11,7.830000,7.830000,7.620000,7.750000,5.283088,514500
